time,Vrain,Vgate,-IR1,IM1
4.326541968188788e-08,2.490735e-02,1.173238e+01,-9.352820e-02,3.216796e-01
4.426541968188753e-08,2.497061e-02,1.165479e+01,-9.344137e-02,3.216873e-01
4.526541968188718e-08,2.503580e-02,1.157735e+01,-9.333166e-02,3.216951e-01
4.626541968188684e-08,2.510289e-02,1.150007e+01,-9.320050e-02,3.217029e-01
4.726541968188649e-08,2.517188e-02,1.142298e+01,-9.304912e-02,3.217107e-01
4.826541968188614e-08,2.524276e-02,1.134608e+01,-9.287874e-02,3.217185e-01
4.926541968188579e-08,2.531552e-02,1.126939e+01,-9.269042e-02,3.217262e-01
5.026541968188544e-08,2.539017e-02,1.119291e+01,-9.248520e-02,3.217340e-01
5.126541968188509e-08,2.546671e-02,1.111666e+01,-9.226401e-02,3.217417e-01
5.226541968188475e-08,2.554515e-02,1.104064e+01,-9.202774e-02,3.217495e-01
5.326541968188440e-08,2.562549e-02,1.096488e+01,-9.177720e-02,3.217572e-01
5.426541968188405e-08,2.570774e-02,1.088937e+01,-9.151316e-02,3.217649e-01
5.526541968188370e-08,2.579192e-02,1.081412e+01,-9.123632e-02,3.217727e-01
5.626541968188335e-08,2.587804e-02,1.073915e+01,-9.094737e-02,3.217804e-01
5.726541968188300e-08,2.596613e-02,1.066446e+01,-9.064694e-02,3.217881e-01
5.926541968188231e-08,2.614826e-02,1.051596e+01,-9.001390e-02,3.218035e-01
6.126541968188161e-08,2.633851e-02,1.036867e+01,-8.934150e-02,3.218189e-01
6.326541968188091e-08,2.653710e-02,1.022264e+01,-8.863352e-02,3.218343e-01
6.626541968187987e-08,2.685115e-02,1.000608e+01,-8.751210e-02,3.218573e-01
6.826541968187917e-08,2.707175e-02,9.863407e+00,-8.672903e-02,3.218726e-01
7.026541968187848e-08,2.730171e-02,9.722148e+00,-8.592053e-02,3.218879e-01
7.226541968187778e-08,2.754140e-02,9.582335e+00,-8.508874e-02,3.219031e-01
7.426541968187708e-08,2.779124e-02,9.443997e+00,-8.423550e-02,3.219183e-01
7.526541968187673e-08,2.792011e-02,9.375393e+00,-8.380133e-02,3.219259e-01
7.626541968187638e-08,2.805168e-02,9.307169e+00,-8.336233e-02,3.219335e-01
7.726541968187604e-08,2.818603e-02,9.239328e+00,-8.291865e-02,3.219411e-01
