time,Vrain,Vgate,-IR1,IM1
1.210248980932731e-08,5.045877e+01,1.200844e+00,6.680242e-02,-3.291131e-02
1.310248980932731e-08,5.048502e+01,1.380557e+00,7.200810e-02,-3.733562e-02
1.410248980932731e-08,5.050444e+01,1.564770e+00,7.654011e-02,-4.080590e-02
1.510248980932731e-08,5.051959e+01,1.753699e+00,8.044507e-02,-4.360979e-02
1.610248980932731e-08,5.053189e+01,1.947002e+00,8.377011e-02,-4.590810e-02
1.710248980932731e-08,5.054216e+01,2.144103e+00,8.656355e-02,-4.779648e-02
1.810248980932731e-08,5.055093e+01,2.344348e+00,8.887310e-02,-4.934005e-02
1.910248980932731e-08,5.055853e+01,2.547080e+00,9.074428e-02,-5.058618e-02
2.010248980932731e-08,5.056520e+01,2.751667e+00,9.221965e-02,-5.157316e-02
2.110248980932731e-08,5.057110e+01,2.957516e+00,9.333870e-02,-5.233184e-02
2.210248980932731e-08,5.057637e+01,3.164085e+00,9.413776e-02,-5.288934e-02
2.310248980932731e-08,5.058111e+01,3.370880e+00,9.465022e-02,-5.326844e-02
2.410248980932731e-08,5.058539e+01,3.577454e+00,9.490660e-02,-5.348960e-02
2.510248980932730e-08,5.058927e+01,3.783404e+00,9.493478e-02,-5.354794e-02
2.610248980932730e-08,5.059272e+01,3.988306e+00,9.476046e-02,-5.246001e-02
2.710248980932730e-08,5.059451e+01,4.190758e+00,9.441220e-02,-3.443382e-02
2.810248980932730e-08,5.059073e+01,4.387438e+00,9.393872e-02,4.404547e-02
2.877117061698931e-08,5.057938e+01,4.511399e+00,9.357704e-02,1.728558e-01
2.931031215101987e-08,5.055290e+01,4.599671e+00,9.328436e-02,3.319708e-01
3.000222616678417e-08,5.047410e+01,4.687522e+00,9.299708e-02,5.142664e-01
3.022456491133888e-08,5.039553e+01,4.688321e+00,9.308212e-02,4.451985e-01
3.034659175960346e-08,5.029534e+01,4.659232e+00,9.333001e-02,2.914149e-01
3.042248193982843e-08,5.020617e+01,4.626470e+00,9.356451e-02,1.911633e-01
3.047423878138152e-08,5.014512e+01,4.603420e+00,9.369622e-02,1.543694e-01
3.052849288832611e-08,5.008904e+01,4.583261e+00,9.377430e-02,1.306858e-01
3.058686391157749e-08,5.003588e+01,4.565356e+00,9.381136e-02,1.116517e-01
3.064896880088509e-08,4.998569e+01,4.549669e+00,9.381458e-02,9.690336e-02
3.070847203349486e-08,4.994316e+01,4.537621e+00,9.379221e-02,8.624692e-02
3.081577966555740e-08,4.987522e+01,4.520627e+00,9.372265e-02,7.273101e-02
3.091927231008370e-08,4.981769e+01,4.508619e+00,9.364574e-02,6.374636e-02
3.112511389695607e-08,4.971745e+01,4.492606e+00,9.350558e-02,5.276703e-02
3.131618376265184e-08,4.963452e+01,4.483489e+00,9.342444e-02,4.671777e-02
3.167116252461416e-08,4.949470e+01,4.474820e+00,9.339468e-02,4.090841e-02
3.204169091876596e-08,4.935700e+01,4.470751e+00,9.346928e-02,3.769633e-02
3.274096270292829e-08,4.910566e+01,4.468331e+00,9.369902e-02,3.464514e-02
3.359835847579432e-08,4.880051e+01,4.467265e+00,9.393033e-02,3.223210e-02
3.459835847579433e-08,4.844536e+01,4.466485e+00,9.409551e-02,3.011116e-02
3.559835847579433e-08,4.809023e+01,4.465736e+00,9.419601e-02,2.833991e-02
3.659835847579433e-08,4.773518e+01,4.465120e+00,9.427552e-02,2.684233e-02
3.759835847579433e-08,4.738022e+01,4.464657e+00,9.434897e-02,2.556056e-02
3.859835847579434e-08,4.702531e+01,4.464316e+00,9.441696e-02,2.444975e-02
3.959835847579434e-08,4.667044e+01,4.464066e+00,9.447858e-02,2.347456e-02
